X,Y,objectid,class,gisassetid,material,owns,maintains,lasteditor,horzontalprecision,surveytype,surveydate,mode
147.139772940842732,-41.427994566222573,838,Seat without back,,CONCTIMB,LCC YPIPA,LCC YPIPA,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,active
147.139766678876953,-41.428027939648423,839,Seat without back,,CONCTIMB,LCC YPIPA,LCC YPIPA,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,active
147.135823361747867,-41.427646515383756,840,Picnic Table,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2015-08-01T00:00:00.000Z,active
147.366634843178588,-41.311201396288787,841,Picnic Table,, ,LCC Parks,LCC Parks,MANNC,0.100000,submetre,2016-04-08T00:00:00.000Z,active
147.366568535204607,-41.311293945674649,842,Picnic Table,, ,LCC Parks,LCC Parks,MANNC,0.100000,submetre,2016-04-08T00:00:00.000Z,active
147.366606662240343,-41.311116130626843,843,Picnic Table,, ,LCC Parks,LCC Parks,MANNC,0.100000,submetre,2016-04-08T00:00:00.000Z,active
147.168682523249203,-41.455149623767667,844,Seat with back,,NATURAL,LCC Parks,LCC Parks,MANNC,0.500000,Submetre GPS,2016-05-24T00:00:00.000Z,active
147.129497318129097,-41.440154774867608,845,Seat without back,,,LCC Parks,LCC Parks,ORDERSR,,Digitised,2017-04-20T00:00:00.000Z,active
147.139696746069887,-41.436998783840139,846,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139716619304835,-41.437069013191461,847,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139727051011306,-41.437089115281836,848,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139766313101347,-41.437137062517792,849,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139757664210038,-41.437165194594627,850,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139764956453178,-41.437328225084023,851,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139792081280319,-41.437305884932272,852,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139666627471541,-41.437691602737644,853,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139689856832234,-41.437668963785974,854,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139585370456075,-41.437748393965613,855,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139529242329132,-41.437863001139071,856,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.139550605783739,-41.437841526452857,857,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.140003740795095,-41.437370068462606,858,Seat with back,,PLASRECY,,,ORDERSR,0.100000,Surveyed & GPS RTK,2016-09-15T00:00:00.000Z,active
147.120840625700708,-41.44617183941984,859,Picnic Table,,TIMBSTL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.120912217942305,-41.446120468980176,860,Picnic Table,,TIMBSTL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-04-20T00:00:00.000Z,
147.124835384181722,-41.438694703640749,861,Bench Seat without back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2016-07-01T00:00:00.000Z,
147.125031116824317,-41.438821877630403,862,Bench Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2016-07-01T00:00:00.000Z,
147.131562392331801,-41.373890879454791,863,Picnic Table,,TIMBSTL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-02-02T00:00:00.000Z,
147.123901380780666,-41.382782631773786,864,Seat with back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2017-02-06T00:00:00.000Z,
147.138464853383539,-41.436723949357308,865,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
147.138485970110736,-41.436757599568246,866,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
