X,Y,objectid,local,state,thr_id,original_a,commentary
147.144065027834841,-41.448093653368666,1001,LCC, ,0,55 Howick Street SOUTH LAUNCESTON TAS 7249, 
147.143781415713619,-41.447952915995309,1002,LCC,THC,4396,57-59 Howick St, 
147.143721616488392,-41.44798001331511,1003,LCC,THC,4396,57-59 Howick St, 
147.137630096923033,-41.426324305020991,1004,LCC,THC,4399, , 
147.140411788636982,-41.428716956058992,1005,LCC,THC,4400, , 
147.137812480710807,-41.428837808885632,1006,LCC,THC,4402, , 
147.13783294106338,-41.428891829752232,1007,LCC,THC,4402, , 
147.137790267306428,-41.428778254066259,1008,LCC, ,0,43-45 Invermay Road INVERMAY TAS 7248, 
147.137760150900732,-41.4286856752693,1009,LCC, ,0,43-45 Invermay Road INVERMAY TAS 7248, 
147.137483778965446,-41.427765690457917,1010,LCC,THC,4404, , 
147.137471041687206,-41.427544018702385,1011,LCC, ,0,63-65A Invermay Road INVERMAY TAS 7248, 
147.137291269954801,-41.42758399185395,1012,LCC, ,0,63-65A Invermay Road INVERMAY TAS 7248, 
147.137300157447783,-41.427436861591445,1013,LCC, ,0,67-71 Invermay Road INVERMAY TAS 7248, 
147.137253146645804,-41.427303145432838,1014,LCC,THC,4407, , 
147.137255979887158,-41.427062393248953,1015,LCC, ,0,75-77 Invermay Road INVERMAY TAS 7248, 
147.137222812334301,-41.426969397269708,1016,LCC, ,0,79 Invermay Road INVERMAY TAS 7248, 
147.137096494736028,-41.426883168005027,1017,LCC,THC,4410, , 
147.137030049321851,-41.426704129909957,1018,LCC, ,0,83-87 Invermay Road INVERMAY TAS 7248, 
147.134420784857582,-41.416798085661718,1019,LCC,THC,7974, , 
147.133872573706327,-41.41485308681068,1020,LCC,THC,10869, , 
147.13407575732586,-41.418230693576,1021,LCC,THC,4412, , 
147.13300551778471,-41.415664774969066,1022,LCC,THC,4413, , 
147.132142374596839,-41.415701799847859,1023,LCC,THC,4413, , 
147.073358052005318,-41.330649994850525,1024,LCC,THC,4115, , 
147.055792794203001,-41.303636626718394,1025,LCC,THC,4117, , 
147.141202315206243,-41.443749591211272,1026,LCC,THC,4414, , 
147.141093117528555,-41.44379476288173,1027,LCC,THC,4415, , 
147.14097480223046,-41.443830938082186,1028,LCC,THC,4416, , 
147.140852180778438,-41.443877061855389,1029,LCC, ,0,8 King Street LAUNCESTON TAS 7250, 
147.140725740829964,-41.443912310862949,1030,LCC,THC,4418, , 
147.140552895493784,-41.443975574935621,1031,LCC,THC,4419, , 
147.140375241986874,-41.444029837076187,1032,LCC,THC,4420, , 
147.120874564980369,-41.441690584216687,1033,LCC, ,0,19-21 Kootara Place TREVALLYN TAS 7250,? Gorge
147.120004518831252,-41.442456797511682,1034,LCC, ,0,Cataract Gorge Reserve (Cliffgrounds) Dandenong Road TREVALLYN TAS 7250,? Gorge
147.189012479089428,-41.265002929416084,1035,LCC, ,0,Wag Walker Rhododendron Reserve 247 Lalla Road LALLA TAS 7267, 
147.126528486289743,-41.392648649164471,1036,LCC,THC,4422, , 
147.126470876526582,-41.392918941094436,1037,LCC,THC,4422, , 
147.145638964910802,-41.44078057913778,1038,LCC,THC,6616,20 Law Street LAUNCESTON TAS 7250, 
147.145638964910802,-41.44078057913778,1039,LCC,THC,4423, , 
147.146122565506744,-41.440678705816303,1040,LCC, ,0,22 Law Street LAUNCESTON TAS 7250, 
147.143299957617074,-41.43039780899759,1041,LCC,THC,4424, , 
147.144034186041665,-41.430865285249403,1042,LCC,THC,4425, , 
147.144773890197769,-41.431260689414614,1043,LCC,THC,4426, , 
147.144899263107817,-41.431341599610214,1044,LCC,THC,4427, , 
147.145136983301313,-41.431458398229026,1045,LCC,THC,4428, , 
147.145221582978223,-41.43150332926605,1046,LCC,THC,4429, , 
147.156729921567063,-41.436676578208633,1047,LCC,THC,4432, , 
147.156731863541211,-41.437235043606023,1048,LCC,THC,4433, , 
147.137792686005497,-41.430105564047963,1049,LCC,THC,4434, , 
147.1377461204101,-41.429988521516968,1050,LCC,THC,8163, , 
147.137502890709953,-41.430087895639474,1051,LCC,THC,8163, , 
147.137163663910883,-41.430168940753475,1052,LCC,THC,4436, , 
147.13700554098665,-41.430160121598156,1053,LCC,THC,4437, , 
147.136842089022224,-41.430178331246246,1054,LCC,THC,4437, , 
147.136542990419059,-41.430233159830038,1055,LCC,THC,4438, , 
147.13650360807398,-41.430116108272657,1056,LCC,THC,4438, , 
147.136332187096031,-41.430215394697996,1057,LCC,THC,4439, , 
147.146119192395332,-41.470270592256554,1058,LCC,THC,4440, , 
147.149695316446156,-41.432407358626257,1059,LCC,THC,4441, , 
147.149653488804546,-41.432695654845894,1060,LCC,THC,4441, , 
147.149098009119996,-41.43269637605794,1061,LCC,THC,4441, , 
147.149535418150634,-41.432984050157991,1062,LCC,THC,4441, , 
147.149261488666752,-41.432741201861937,1063,LCC,THC,4441, , 
147.149467703486522,-41.433362455477052,1064,LCC,THC,4441, , 
147.149379304276806,-41.432497844932151,1065,LCC,THC,4441, , 
147.150340729478273,-41.433154144192315,1066,LCC,THC,4442, , 
147.150437068807463,-41.433667448894518,1067,LCC,THC,4443, , 
147.149606523335564,-41.43481249123159,1068,LCC,THC,4444, , 
147.149589972453555,-41.435632200001187,1069,LCC,THC,4445, , 
147.149556871367736,-41.435812394063632,1070,LCC,THC,4446, , 
147.150304319909111,-41.436360880587472,1071,LCC,THC,4447, , 
147.150233995133192,-41.438513776573778,1072,LCC,THC,4448, , 
